SMILES,LC50,Structure
CCCC(O)=O,61.0,<rdkit.Chem.rdchem.Mol object at 0x315a8e420>
CCC(O)=O,50.0,<rdkit.Chem.rdchem.Mol object at 0x315a8e490>
CCCCC(O)=O,45.0,<rdkit.Chem.rdchem.Mol object at 0x315a8e500>
[Na].O[S](=O)(=O)c1ccc(Br)cc1,1943.0,<rdkit.Chem.rdchem.Mol object at 0x315a8e570>
Br[Hg]c1ccccc1,0.97,<rdkit.Chem.rdchem.Mol object at 0x315a8e5e0>
COc1ccc(NC(=O)N(C)C)cc1Cl,160.0,<rdkit.Chem.rdchem.Mol object at 0x315a8e650>
COC(=O)C(Cl)Cc1ccc(Cl)cc1,0.0091,<rdkit.Chem.rdchem.Mol object at 0x315a8e6c0>
CC(C)Oc1cc(N2N=C(OC2=O)C(C)(C)C)c(Cl)cc1Cl,5.5,<rdkit.Chem.rdchem.Mol object at 0x315a8e730>
CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC,5.5,<rdkit.Chem.rdchem.Mol object at 0x315a8e7a0>
ClC1=C(Cl)C2(Cl)C3C4CC(C=C4)C3C1(Cl)C2(Cl)Cl,1.0,<rdkit.Chem.rdchem.Mol object at 0x315a8e810>
O(c1ccccc1)c2ccccc2,0.67,<rdkit.Chem.rdchem.Mol object at 0x315a8e880>
Cl\C=C\Cl,220.0,<rdkit.Chem.rdchem.Mol object at 0x315a8e8f0>
CC(C)c1ccc(C)cc1,6.5,<rdkit.Chem.rdchem.Mol object at 0x315a8e960>
CC1(C)C2CCC(C2)C1=C,22.0,<rdkit.Chem.rdchem.Mol object at 0x315a8e9d0>
Oc1ccccc1c2ccccc2,0.71,<rdkit.Chem.rdchem.Mol object at 0x315a8ea40>
[nH]1ccc2ccccc12,1.0,<rdkit.Chem.rdchem.Mol object at 0x315a8eab0>
O=C1Oc2ccccc2C=C1,13.5,<rdkit.Chem.rdchem.Mol object at 0x315a8eb20>
O=C1NC(=S)NC=C1,7.7,<rdkit.Chem.rdchem.Mol object at 0x315a8eb90>
S=C(Nc1ccccc1)Nc2ccccc2,67.0,<rdkit.Chem.rdchem.Mol object at 0x315a8ec00>
S=C=Nc1ccc(cc1)N=C=S,0.077,<rdkit.Chem.rdchem.Mol object at 0x315a8ec70>
C1c2ccccc2Oc3ccccc13,20.3,<rdkit.Chem.rdchem.Mol object at 0x315a8ece0>
CN(C)C(C)=S,417.0,<rdkit.Chem.rdchem.Mol object at 0x315a8ed50>
CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc12,0.64,<rdkit.Chem.rdchem.Mol object at 0x315a8edc0>
C1C=CC2C3CC(C=C3)C12,10.5,<rdkit.Chem.rdchem.Mol object at 0x315a8ee30>
CC(C)O[P](C)(=O)OC(C)C,267.0,<rdkit.Chem.rdchem.Mol object at 0x315a8eea0>
CCO[P](=S)(CC)Sc1ccccc1,0.0027,<rdkit.Chem.rdchem.Mol object at 0x315a8ef10>
CCCN(CCC)C(=O)SCC,4.7,<rdkit.Chem.rdchem.Mol object at 0x315a8ef80>
CCSC(=O)N1CCCCCC1,7.5,<rdkit.Chem.rdchem.Mol object at 0x315a8eff0>
CC1(C)[C@@H]2CC[C@]1(C)[C@H](C2)OC(=O)CSC#N,0.09,<rdkit.Chem.rdchem.Mol object at 0x315a8f060>
CC(C)N(C(C)C)C(=O)SCC(Cl)=C(Cl)Cl,0.057,<rdkit.Chem.rdchem.Mol object at 0x315a8f0d0>
CCCCC(CC)CO[P](=O)(Oc1ccccc1)Oc2ccccc2,0.15,<rdkit.Chem.rdchem.Mol object at 0x315a8f140>
ClC1C2OC2C3C1C4(Cl)C(=C(Cl)C3(Cl)C4(Cl)Cl)Cl,0.24,<rdkit.Chem.rdchem.Mol object at 0x315a8f1b0>
CCNc1nc(Cl)nc(NCC)n1,94.0,<rdkit.Chem.rdchem.Mol object at 0x315a8f220>
s1c2ccccc2c3c1ccc4ccccc34,0.22,<rdkit.Chem.rdchem.Mol object at 0x315a8f290>
s1cccc1,318.0,<rdkit.Chem.rdchem.Mol object at 0x315a8f300>
Clc1ccc(c(Cl)c1)c2ccc(Cl)cc2Cl,0.03,<rdkit.Chem.rdchem.Mol object at 0x315a8f370>
Clc1ccccc1c2ccccc2,0.71,<rdkit.Chem.rdchem.Mol object at 0x315a8f3e0>
Clc1ccc(cc1)c2ccccc2,0.42,<rdkit.Chem.rdchem.Mol object at 0x315a8f450>
Clc1cccc(c1)c2ccccc2,0.43,<rdkit.Chem.rdchem.Mol object at 0x315a8f4c0>
CCN(CC)CC.OC(=O)COc1nc(Cl)c(Cl)cc1Cl,1170.0,<rdkit.Chem.rdchem.Mol object at 0x315a8f530>
S=C=S,2.1,<rdkit.Chem.rdchem.Mol object at 0x315a8f5a0>
CNC.OC(=O)COc1ccc(Cl)cc1Cl,184.0,<rdkit.Chem.rdchem.Mol object at 0x315a8f610>
NC(=O)C=C,160.0,<rdkit.Chem.rdchem.Mol object at 0x315a8f680>
NCCNCCN,53.5,<rdkit.Chem.rdchem.Mol object at 0x315a8f6f0>
NCCNCCNCCN,33.9,<rdkit.Chem.rdchem.Mol object at 0x315a8f760>
C1CCC=CC1,9.4,<rdkit.Chem.rdchem.Mol object at 0x315a8f7d0>
N.N.O[S](O)(=O)=O,14.0,<rdkit.Chem.rdchem.Mol object at 0x315a8f840>
O=[S]1(=O)C=Cc2ccccc12,14.0,<rdkit.Chem.rdchem.Mol object at 0x315a8f8b0>
O=s1c2ccccc2c3ccccc13,20.0,<rdkit.Chem.rdchem.Mol object at 0x315a8f920>
CCc1ccc(cc1)C(=O)NN(C(=O)c2cc(C)cc(C)c2)C(C)(C)C,17.37,<rdkit.Chem.rdchem.Mol object at 0x315a8f990>
Clc1cc(Cl)c(cc1Cl)c2ccccc2,0.59,<rdkit.Chem.rdchem.Mol object at 0x315a8fa00>
ClC1=C(Cl)C2(Cl)C3COCC3C1(Cl)C2(Cl)Cl,0.55,<rdkit.Chem.rdchem.Mol object at 0x315a8fa70>
ClC1=C(Cl)C2(Cl)C3C(COC3=O)C1(Cl)C2(Cl)Cl,55.0,<rdkit.Chem.rdchem.Mol object at 0x315a8fae0>
c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45,0.25,<rdkit.Chem.rdchem.Mol object at 0x315a8fb50>
CC(C)(O)CC[C@@H](O)[C@](C)(O)[C@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@]4(C)[C@H]3CC[C@]12C,2.4604063892517,<rdkit.Chem.rdchem.Mol object at 0x315a8fbc0>
CC(C)CC[C@@H](O)[C@](C)(O)[C@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@]4(C)[C@H]3CC[C@]12C,0.175170413024902,<rdkit.Chem.rdchem.Mol object at 0x315a8fc30>
Clc1ccc(cc1)[S](=O)(=O)c2cc(Cl)c(Cl)cc2Cl,6.92,<rdkit.Chem.rdchem.Mol object at 0x315a8fca0>
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,2.97,<rdkit.Chem.rdchem.Mol object at 0x315a8fd10>
